年份,病种,住院总费用,住院统筹支付,住院人次
2015,眩晕综合征,1674066.54,1188956.6,322
2015,脑出血,7422337.85,5056940.51,316
2015,急性扁桃体炎,820030.28,528312.15,308
2015,2型糖尿病伴多并发症,5250601.85,3673903.89,307
2015,椎动脉型颈椎病,2161583.1,1612784.76,306
2015,腰椎椎管狭窄,6940594.32,4462065.81,305
2015,桡骨骨折,2414912.78,1650266.98,302
2015,肛周脓肿,1967644.61,1319556.43,301
2015,骨折,5670268.03,3483255,300
2015,女性盆腔炎,898938.78,577951.13,298
2015,急性化脓性扁桃体炎,824104,534158.7,296
2015,急性胰腺炎,5051842.48,3395845.48,295
2015,多发性脑梗死,5621157.3,4092514.4,284
2015,急性女性盆腔炎,721762.72,474284.54,281
2015,支气管哮喘，非危重,2330105.68,1651835.65,270
2015,特指急性胃炎,905094.43,596283.27,267
2015,慢性浅表性胃炎,1324643.86,911285.17,260
2015,充血性心力衰竭,4876699.76,3462468.82,247
2015,肝恶性肿瘤,4439977.16,3028625.86,239
2015,结肠恶性肿瘤,4803749.67,3243212.15,233
2015,慢性肺源性心脏病,1566209.15,1133168.31,225
2015,梅尼埃病,854369.38,617133.4,224
2015,腰痛,1364132.75,1010093.64,216
2015,高血压性心脏病,2579774.2,1873400.44,215
2015,类风湿性关节炎,1695940.85,1255745.08,215
2015,女性盆腔炎性疾病,790558,548420.07,215
2015,湿疹,1158177.57,790089.68,208
2015,腰椎骨折,3835249,2523828.54,207
2015,股骨骨折,6366454.13,3928827.7,205
2015,心悸,1134960.59,814089.16,205
2015,胆囊结石伴慢性胆囊炎,2082485.83,1194171.97,198
2015,颈椎间盘疾患,1025277.51,740044.07,196
2015,食管恶性肿瘤,4794764.73,3340076.04,195
2015,胆囊结石伴急性胆囊炎,2059043.49,1232458.43,191
2015,肝硬化,2660842.85,1797037.86,187
2015,腹股沟疝,2573787.78,1528999.76,187
2015,风湿性心脏病,3816873.54,2513256.45,181
2015,脑血管意外,2062524.01,1562897.19,181
2015,腹股沟斜疝,1517385.67,960754.32,180
2015,肝癌病,3853269.84,2253382.95,179
2015,急性肠炎,786825.31,521028.13,178
2015,短暂性脑缺血发作,1390492.08,998660.22,176
2015,鼻咽恶性肿瘤,3789013.41,2570806.05,175
2015,心律失常,2183795.28,1429081.82,174
2015,良性高血压,2084336.64,1224290.42,171
2015,胆囊炎,915041.72,609835.1,169
2015,1型糖尿病,1396027.43,933563.83,168
2015,胃溃疡,1171514.61,808625.76,168
2015,肛裂,677791.79,459934.7,168
2015,肠梗阻,2016905.22,1373980.99,167
2015,发热,1022476.48,710625.92,167
2015,声带息肉,1490056.39,934679.08,165
2015,尿毒症,3634187.63,2741543.27,163
2015,原发性双侧膝关节病,997968.63,691787.23,162
2015,肥大性鼻炎,658660.99,378934.85,162
2015,直肠炎,1051559.43,710528.5,161
2015,脑血管病,768855.93,554816.24,159
2015,宫颈恶性肿瘤,2903001.85,1994229,155
2015,前列腺恶性肿瘤,2323713.73,1617099,154
2015,痛风,1088436.73,717988.69,152
2015,消化道出血,1878558.42,1276602.11,151
2015,慢性鼻窦炎,1438804.49,921127.74,151
2015,直肠息肉,1235584.73,823875.51,151
2015,肋骨骨折,1150799.51,778445.29,149
2015,急性前列腺炎,547406.07,395003.56,149
2015,慢性前列腺炎,579881.4,407762.31,148
2015,并发性白内障,1351396.67,649433.22,147
2015,高脂血症,967413.63,691841.94,142
2015,咳嗽,859160.19,606925.17,142
2015,上消化道出血,1354545.82,929467.72,138
2015,荨麻疹,559677.16,347004.62,137
2015,肛瘘,952556.12,639994.69,136
2015,胃息肉,1045879.95,691606.72,135
2015,皮炎,763099.71,484330.86,135
2015,前列腺炎性疾病,610608.56,429263.58,135
2015,心脏病,1906181.25,1186371.67,134
2015,子宫平滑肌瘤,1932321.9,1057898.26,134
2015,肺恶性肿瘤个人史,2655802.02,1966861.8,133
2015,肺结核,1461812.5,936068.38,133
2015,内痔,955323.65,610114.87,132
2015,肾绞痛,391217.13,237152.61,131
2015,子宫肌瘤手术,1250958.42,730378.01,126
2015,鼻出血,563773.62,355134.36,126
2015,脑血管供血不足伴短暂性局灶性神经症状,379910.58,273505.54,126
2015,中风病,1426716.63,1103118.2,125
2015,卵巢恶性肿瘤,2134542.63,1527187.85,121
2015,肾积水伴输尿管结石,1179142.84,650239.83,121
2015,头痛,855122.87,619859.66,121
2015,高血压脑出血,5950962.41,3706870.92,120
2015,肱骨骨折,1509512.19,992632.76,120
2015,胃恶性肿瘤,2860176.99,1864866.2,118
2015,胆管结石伴胆囊炎,966360.13,619996.98,118
2015,腹痛病,604453.37,429344.7,117
2015,脂肪瘤,589522.76,362118.69,117
2015,阻塞性肺气肿,1175094.32,896288.11,116
2015,上呼吸道疾病,516925.41,373415.62,116
2015,急性咽喉炎,307549.95,205526.27,115
2015,慢性阻塞性肺气肿性支气管炎伴急性加重,582674.88,430253.11,114
2015,肺肿瘤,2495946.7,1639317.46,112
2015,神经炎,872679.49,656881.46,111
2015,肾积水伴肾结石,957181.91,567123.67,111
2015,肾功能衰竭的透析治疗,2715891.66,1978710.92,110
2015,支气管扩张,1175298.67,822218.25,109
2015,2型糖尿病伴并发症,1621397.49,1116076.47,108
2015,卵巢囊肿,1042421.09,611715.15,108
2015,血栓性外痔,315168.67,219981.82,108
2015,髌骨骨折,1320164.42,854623.81,107
2015,内痔伴特指并发症,1032474.93,679711.07,107
2015,低钾血症,559953.58,394239.97,107
2015,感冒病,359080.37,249074.91,107
2015,不完全性肠梗阻,1067824.22,750245.61,104
2015,非霍奇金淋巴瘤,2263445.36,1274520.49,102
2015,脑梗死个人史,1345554.41,915073.68,102
2015,慢性胃肠炎,297750.51,212839.25,102
2015,帕金森病,1141602.4,808486.5,101
2015,胆囊息肉,922894.43,556276.83,101
2015,白内障超乳手术+人工晶体植入,683409.77,344499.93,101
2015,急性荨麻疹,402506.2,254189.56,101
2015,病毒性上呼吸道感染,263560.63,175166.61,101
2015,胸腔积液,1004907.65,718936.67,99
2015,器质性精神障碍,2424119.44,1688532.94,98
2015,全身性骨关节炎,1486434.3,939007.98,98
2015,缺血性心肌病,1296199.82,952071.93,97
2015,中耳炎,484599.82,326561.18,97
2015,直肠恶性肿瘤个人史,1000191.79,698652.2,96
2015,系统性红斑狼疮,929385.78,589757.31,96
2015,乳腺肿瘤,1190061.04,645143.65,95
2015,多发性结肠息肉,919481.69,594090.53,94
2015,膝关节滑膜炎,417352.73,334034.75,94
2015,胸椎骨折,2393759.03,1542944.54,93
2015,慢性喘息性支气管炎,369841.84,285996.1,93
2015,腰腿痛病,657433.17,454692.39,92
2015,广泛性焦虑障碍,784284.54,531077.45,91
2015,膝关节痛,416810.14,321796.02,91
2015,椎-基底动脉供血不足,397032.62,291468.01,91
2015,下肢静脉曲张,1000986.47,641535.49,88
2015,肾恶性肿瘤,1821704.46,1321677.48,85
2015,病毒性肝炎,1669720.83,1162395.82,85
2015,慢性心力衰竭,1447959.69,1066466.08,85
2015,冠状动脉粥样硬化,932569.01,649935.15,85
2015,慢性荨麻疹,620769.08,446369.83,85
2015,取除骨折内固定装置,629712.26,372281.48,85
2015,青光眼,536581.56,331990.04,85
2015,肝硬化失代偿期,1699100.12,1051831.17,84
2015,滑膜炎,446208.81,317164.27,83
2015,股骨颈骨折,2881360.37,1741113.71,82
2015,支气管哮喘，危重,1321748.89,966822.16,82
2015,慢性鼻炎,392620.91,276367.5,82
2015,直肠肿瘤,2147578.63,1371820.32,81
2015,半月板损伤,938015.42,590581.87,81
2015,乳腺良性肿瘤,760788.68,358262.64,81
2015,肺心病,747933.04,544183.47,80
2015,面神经麻痹,558194.77,419436.42,80
2015,脑血管疾病,600380.78,460289.81,79
2015,突发性耳聋,649446.93,425900.97,79
2015,抑郁症,604346.28,387727.3,79
2015,急性化脓性阑尾炎,797041.6,488168.41,78
2015,胸痛,623000.47,427779.21,78
2015,过敏性皮炎,231649.85,159002.62,78
2015,急性心肌梗死,2525932.24,1797735.65,76
2015,结肠肿瘤,1373435.29,840795.04,76
2015,心力衰竭,1114995.96,823450.76,76
2015,大面积脑梗死,1619313.36,1111287.43,75
2015,甲状腺肿瘤,1152517.7,666872.98,74
2015,脑出血后遗症,794937.57,590038.32,74
2015,接触性皮炎,451478.15,309264.2,74
2015,慢性肾功能衰竭,1080158.82,804538.71,73
2015,支气管扩张伴感染,907954.32,633023.19,73
2015,肾结石伴输尿管结石,360170.38,194830.49,73
2015,胫骨骨折,1368210.8,810751.94,72
2015,便秘,648036.52,460955.45,72
2015,呼吸衰竭,2081696.29,1401266.15,71
2015,甲状腺恶性肿瘤,1310230.35,857467.52,71
2015,尿潴留,429275.18,297611.1,71
2015,贫血,708274.14,476971.94,70
2015,面瘫病,514730.26,384387.26,70
2015,扩张型心肌病,1245969.82,835990.76,69
2015,锁骨骨折,973396.42,549627.05,69
2015,功能障碍性子宫出血,221040.71,132773.04,69
2015,乙状结肠恶性肿瘤,1732612.76,1178034.76,68
2015,肝细胞癌,1456527.23,894378.89,68
2015,骨折病,850830.74,571273.09,68
2015,癫痫,654703.73,422492.42,68
2015,股骨粗隆间骨折,2391833.11,1362929.43,67
2015,慢性肺原性心脏病,506876.68,381494.4,67
2015,结肠炎,557462.54,379119.12,67
2015,甲状腺良性肿瘤,894720.11,557222.37,66
2015,急性会厌炎,277524.17,181837.45,66
2015,子宫腺肌病,962308.17,494860.41,65
2015,高血压危象,310305.24,230331.63,65
2015,颈椎关节强硬,221542.68,167168.7,65
2015,颈动脉硬化,185335.46,135283.65,64
2015,角膜炎,175967.41,107158.93,64
2015,骨质疏松伴病理性骨折,1916811.9,1167311.78,63
2015,胃癌病,1010029.19,663706.4,63
2015,急性尿道炎,248338.67,172740.39,63
2015,食道中上段恶性肿瘤,1444864.8,1020743.54,62
2015,股骨头无菌性坏死,1618634.87,835151.58,62
2015,风湿性关节炎,452829.22,314686.95,62
2015,慢性阻塞性肺病伴急性下呼吸道感染,616049.22,389027.91,61
2015,肾积水伴肾输尿管结石,581190.09,336564.21,61
2015,慢性胆囊炎,429781.92,267269.36,61
2015,大隐静脉曲张,743864.61,473377.29,60
2015,腰肌劳损,315083.24,221482.47,60
2015,宫颈糜烂,262547.48,173468.06,60
2015,三叉神经痛,609521.91,376497.58,59
2015,跖骨骨折,336959.75,229614.82,59
2015,古典生物型霍乱,229738.6,169168.58,59
2015,多发性骨髓瘤,2355746.46,1432931.62,58
2015,腹泻,508694.97,366461.68,58
2015,皮肤挫伤,464010.6,279082.19,58
2015,痛风病,301674.91,221004.65,58
2015,外阴白斑,354185.1,217332.03,58
2015,骶髂关节炎,288117.4,190141.14,58
2015,冠状动脉性心脏病,840888.63,591420.23,57
2015,卵巢肿瘤,1004285.97,574245.3,57
2015,晕厥和虚脱,596000.83,400062.7,57
2015,脂肪肝,417183.97,276520.73,57
2015,头部外伤,271979.47,186043.11,57
2015,尿道结石,209526.9,126186.83,56
2015,慢性女性盆腔炎,187636.69,128273.27,55
2015,急性咽炎,159429.89,104434.65,55
2015,喉恶性肿瘤,1180538.12,788736.71,54
2015,前列腺癌病,896801.33,542694.6,54
2015,肿瘤,655791.11,399346.5,54
2015,代谢性白内障,573100.68,321960.16,54
2015,阑尾炎,375495.07,223147.18,54
2015,蜂蛰伤,123417.03,68870.47,54
2015,膀胱恶性肿瘤,1055315.14,699885.07,53
2015,子宫内膜恶性肿瘤,942262.52,621235.52,53
2015,脊髓型颈椎病,1101531.16,613725.9,53
2015,2型糖尿病性植物神经病变,779843.5,485342.48,53
2015,心悸病,492092.43,357851.98,53
2015,丹毒,398961,275857.46,53
2015,面神经疾患,348801.7,258364.64,53
2015,慢性萎缩性胃炎,356027.43,248760.31,53
2015,多形红斑,317621.34,209925.75,53
2015,特指慢性阻塞性肺病,530066.49,378210.41,52
2015,外踝骨折,606326.05,400965.13,51
2015,腰椎不稳定,306606.74,200266.75,51
2015,肺不典型增生,850361.5,513831.26,49
2015,脑萎缩,282030.4,213263.09,49
2015,乙型肝炎后肝硬化失代偿期,994480.72,630486.46,48
2015,高血压性心脏病及肾脏病,633354.16,351072.22,48
2015,会厌囊肿,376715.67,237325.65,48
2015,神经性耳鸣,287982.84,208868.07,48
2015,脑动脉粥样硬化,267984.35,195032.16,48
2015,沙门菌肺炎,162878.82,116086.48,48
2015,肾病综合征,655387.09,453374.1,47
2015,腰椎间盘变性,731093.57,394922.15,47
2015,慢性乙型病毒性肝炎,575963.81,373538.41,47
2015,膀胱结石,439333.05,286204.31,47
2015,血尿,336866.24,220417.03,47
2015,慢性十二指肠球部溃疡,290145.06,192046.79,47
2015,跟骨骨刺,214612.32,149898.32,47
2015,泌尿系结石,219753.39,134128.64,47
2015,外源性支气管哮喘,460016.37,333630.65,46
2015,鼻中隔偏曲,399533.58,245771.87,46
2015,慢性咽炎,235781.13,165660.47,46
2015,食管癌病,1048624.88,621260.85,45
2015,缺铁性贫血,570992.38,342514.25,45
2015,反流性食管炎,466173.65,289576.96,45
2015,玻璃体出血,459359.2,259773.56,45
2015,银屑病,367781.99,250421.09,45
2015,下肢皮肤感染,312607.8,210008.78,45
2015,附睾炎,229142.65,150825.09,45
2015,翼状胬肉,260336.16,147437.92,45
2015,急性喘息性支气管炎,154542.83,110875.03,45
2015,急性冠脉综合征,1028084.23,744723.97,44
2015,多关节炎,480271.25,313389.77,44
2015,腰椎间盘退行性病变,222341.64,171348.56,44
2015,原发性单侧膝关节病,210870.28,156060.9,44
2015,变应性鼻炎,191190.37,115543.97,44
2015,胰腺恶性肿瘤,1488319.13,1040584.76,43
2015,胆总管结石,730828.32,473260.76,43
2015,跟骨骨折,558099.55,324904.7,43
2015,偏头痛,398630.74,287086.69,43
2015,良性阵发性眩晕,376186.41,255997.36,43
2015,急性肾盂肾炎,266433.43,184918.33,43
2015,弥漫性甲状腺肿伴甲状腺机能亢进症,243470.16,153607.87,43
2015,腰痛病,207060.6,152803.75,43
2015,异位妊娠,268034.05,147905.93,43
2015,腱鞘囊肿,176451.86,113778.38,43
2015,睑内翻和倒睫,156573.26,97483.32,43
2015,腰椎滑脱,1220855.9,712681.65,42
2015,呕吐病,494487.07,386030.05,42
2015,咳嗽病,194050.32,134497.62,42
2015,头痛病,184462.43,126475.04,42
2015,腱鞘炎,143792.78,100326.98,42
2015,急性白血病,1900682.72,1177963.44,41
2015,结节性甲状腺肿,712732.23,458170.74,41
2015,子宫内膜息肉,429535.36,240768.59,41
2015,耳鸣,324311.04,233918.18,41
2015,乳腺炎,267261.82,154201.3,41
2015,颅内占位性病变,1450802.37,827288.11,40
2015,支气管恶性肿瘤,774847.32,528410.81,40
2015,卵巢良性肿瘤,689089.51,373245.65,40
2015,急性上消化道出血,540333.05,358474.95,40
2015,特指细菌性肺炎,468712.53,275130.82,40
2015,腹股沟直疝,427667.5,238095.72,40
2015,晶体混浊,398098.47,96294.33,40
2015,睾丸炎,103528.65,66794.24,40
2015,白血病,970031.49,562418.59,39
2015,乳腺恶性肿瘤，上部,589373.93,324858.32,39
2015,静脉曲张,412784.73,261942.18,39
2015,焦虑性抑郁症,330950.9,216793.22,39
2015,肝功能异常,302785.03,205049.44,39
2015,感染性腹泻,290137.43,186488.87,39
2015,特指白内障,382724.34,168084.78,39
2015,病毒性肺炎,455973.91,328189.89,38
2015,瘙痒症,276222.75,184746.33,38
2015,食管炎,221290.66,146844.97,38
2015,宫颈炎性疾病,165323.09,98271.23,38
2015,胆管结石,468002.76,285546.88,37
2015,肾功能异常,388268.24,272132.69,37
2015,尺骨骨折,373044.78,254951.82,37
2015,肾囊肿病,382406.21,247841.94,37
2015,老年性骨质疏松,247439.6,189485.08,37
2015,化脓性牙龈炎,103032.67,72694.35,37
2015,胰腺癌病,1023098.89,651213.55,36
2015,脑栓塞,803407.87,614542.59,36
2015,帕金森氏综合症,517912.67,360694.57,36
2015,慢性粒细胞性白血病，急淋变,384414.76,249187.06,36
2015,肝囊肿,402564.47,243128.26,36
2015,高血压急症,183485.91,129669.07,36
2015,急性乳腺炎,118050.86,67489.73,36
2015,蛛网膜下腔出血,1012732.28,627329.86,35
2015,脑卒中,530256.09,379120.91,35
2015,结肠恶性肿瘤个人史,476268.84,349075.25,35
2015,恶性淋巴瘤,501927.14,303774.04,35
2015,2型糖尿病伴神经并发症,417130.68,249836.45,35
2015,宫颈上皮内肿瘤Ⅱ级,388973.36,213658.23,35
2015,十二指肠溃疡,252229.2,173636.67,35
2015,特指慢性胰腺炎,242264.32,172910.29,35
2015,急性膀胱炎,93015.73,63649.38,35
2015,阵发性室上性心动过速,755839.52,440105.44,34
2015,膀胱癌病,642226.53,432991.6,34
2015,药物性股骨头坏死,449200.66,235726.47,34
2015,湿疹样皮炎,208908.37,144537.38,34
2015,睡眠障碍,204630.25,139276.98,34
2015,急性鼻窦炎,134715.67,92541.5,34
2015,急性阴道炎,73221.19,44880.27,34
2015,肝占位性病变,549782.86,320316.77,33
2015,宫颈恶性肿瘤个人史,471011.67,320289.5,33
2015,肺炎链球菌感染,390689.85,297493.69,33
2015,孔源性视网膜脱离,488320.65,277525.09,33
2015,恶性肿瘤,380061.56,274274.87,33
2015,面肌痉挛,505628.79,273985.55,33
2015,慢性化脓性中耳炎,338238.2,181463.62,33
2015,食管异物穿孔,261635.02,163363.87,33
2015,疣状胃炎,155362.84,107763.39,33
2015,哮喘性支气管炎,120411.64,77841.7,33
2015,扁桃体肥大,102669.06,47828.74,33
2015,特指上呼吸道疾病,27740,11170.27,33
2015,自发性气胸,641147.12,447605.72,32
2015,恶性肿瘤（癌症）,653051.87,410191.73,32
2015,肌瘤,557705.28,338577.09,32
2015,褥疮,449808.55,320935.35,32
2015,胃恶性肿瘤个人史,353545.31,263261.48,32
2015,小脑梗死,256606.56,185198.03,32
2015,腰部扭伤,269742.8,177985.64,32
2015,慢性扁桃体炎,267096.52,157260.78,32
2015,肩袖损伤,211628.7,145658.94,32
2015,青光眼性白内障,319659.05,132695.18,32
2015,乳腺纤维囊性增生,259093.45,105833.01,32
2015,头皮裂伤,137899.64,88735.69,32
2015,前庭大腺囊肿,127547.5,76710.08,32
2015,子宫炎性疾病,101291.45,73822.26,32
2015,前庭大腺脓肿,100983.33,62597.24,32
2015,单关节炎,463261.2,273592.36,31
2015,溃疡性结肠炎,311390.69,214740.54,31
2015,椎基底动脉综合征,223761.99,158178.36,31
2015,低血糖症,141790.81,100026.84,31
2015,急性非感染性胃肠炎,115438,76086.43,31
2015,动脉瘤,2217746.37,1238876.23,30
2015,急慢性肾功能衰竭,705111.78,395884.96,30
2015,艾滋病,383087.9,250976.44,30
2015,低蛋白血症,320965.46,223453.67,30
2015,焦虑状态,295112.91,197537.75,30
2015,视神经炎,153455.25,94401.11,30
2015,外科其他病（水火烫伤病）,126729.03,83999.41,30
2015,脑干梗死,518798.66,368878.9,29
2015,胆管恶性肿瘤,533915.26,361403.99,29
2015,腓骨骨折,397538.91,241110.19,29
2015,重度贫血,310051.11,206947.14,29
2015,周围性面神经麻痹,174926.4,122263.37,29
2015,慢性肠炎,156104.82,108824.27,29
2015,乳腺腺病,190972.61,107652.54,29
2015,急性化脓性中耳炎,132371.91,95540.64,29
2015,化脓性中耳炎,112485.49,77342.69,29
2015,子宫糜烂,87407.1,62402.83,29
2015,骨髓增生异常综合征,940136.48,636438.11,28
2015,创伤后股骨头坏死,918931,437761.99,28
2015,腹膜炎,513756.85,339095.23,28
2015,恶性肿瘤个人史,443439.81,315862.69,28
2015,缺血性肠病,409878.16,277212.54,28
2015,慢性肾炎综合征,309657.89,209123.42,28
2015,疝气病,274459.16,171713.66,28
2015,咯血,217038.66,157927.11,28
2015,外痔,189233.47,130737.44,28
2015,煤矽肺,152611.31,118596.05,28
2015,软组织疾患,133951.66,94167.61,28
2015,动脉硬化性脑病,125117.17,93995.87,28
2015,急性糜烂性胃炎,128836.8,87022.64,28
2015,足皮肤感染,99048.52,68457.78,28
2015,病窦综合征,1476657.01,961946.49,27
2015,梗阻性黄疸,803867.57,546614.46,27
2015,脓毒血症,768984.41,544202.45,27
2015,升结肠恶性肿瘤,564449.8,338367.28,27
2015,脑挫伤,468043.64,310657.71,27
2015,子宫良性肿瘤,453980.42,242145.79,27
2015,消化性溃疡,239771.2,172930.33,27
2015,蜂窝织炎,166282.64,117230,27
2015,慢性缺血性脑血管病,90252.71,63587.01,27
2015,子宫内膜炎,69484.36,38679.01,27
2015,肺肿物,838754.29,566254.47,26
2015,下肢动脉硬化闭塞症,739373.73,452314.39,26
2015,肾病,304432.91,179267.74,26
2015,电解质代谢紊乱,219894.12,163790.16,26
2015,癌,220096.91,156717.83,26
2015,焦虑障碍,233741.06,153320.28,26
2015,特指肺源性心脏病,167802.13,125245.72,26
2015,颈椎退行性病变,208214.4,124131.8,26
2015,髋关节滑膜炎,163594.16,113893.77,26
2015,肾盂肾炎,154798.75,100915.62,26
2015,皮脂腺囊肿,128195.43,85456.8,26
2015,硬膜下血肿,535319.22,389946,25
2015,心房颤动,500634.3,302900.45,25
2015,头部内伤病（开放性颅脑损伤）,392101.02,260498.2,25
2015,心衰病,472137.67,258943.31,25
2015,干燥综合征,345807.64,243940.26,25
2015,直肠原位癌,386525.16,226789.56,25
2015,肾性高血压,471420.3,216328.46,25
2015,心绞痛,335974.61,203811.01,25
2015,心脏神经官能症,234184.55,164072.43,25
2015,后天性肾囊肿,268850.58,162140.73,25
2015,寻常性银屑病,222342.35,141531.36,25
2015,恶心和呕吐,187389.57,138544.89,25
2015,哮喘病,190428.28,128378.59,25
2015,肩关节脱位,186873.6,120310.02,25
2015,急性分泌性中耳炎,156140.38,103611.8,25
2015,急性胃溃疡,146291.53,98545.56,25
2015,膀胱炎,102555.21,71504.11,25
2015,宫颈息肉,109629.88,62679.85,25
2015,下肢深静脉血栓形成,478102.16,313681.04,24
2015,椎管狭窄,459539.17,266347.08,24
2015,高血压性心脏病肾脏病伴心力衰竭,421430.81,250947.59,24
2015,大肠癌病,334326.6,231281.71,24
2015,便血病,325892.74,224561.48,24
2015,哮喘,301458.47,222743.02,24
2015,血管瘤,380015.58,206532.99,24
2015,甲状腺恶性肿瘤个人史,253638.68,182595.54,24
2015,头皮挫伤,182710.24,124281.23,24
2015,腰椎椎间盘炎,143212.42,97611.77,24
2015,过敏性紫癜,135953.8,88409.72,24
2015,阻塞性睡眠呼吸暂停综合征,139605.26,79166.57,24
2015,后发性白内障,140187.58,58475.56,24
2015,肺炎球菌性肺炎,64432.43,47345.4,24
2015,疱疹性湿疹,63699.79,45369.91,24
2015,鼻病毒急性支气管炎,46676.95,30858.77,24
2015,子宫恶性肿瘤,545322.75,349447.19,23
2015,食道中下段恶性肿瘤,361420.78,233196.96,23
2015,单纯性肾囊肿,341244.26,191174.38,23
2015,肺原位癌,261914.9,186528.61,23
2015,气胸,274750.69,160050.14,23
2015,周围神经病,217317.17,155342.32,23
2015,心动过速,184142.97,129482.03,23
2015,髋关节痛,165945.79,118810.29,23
2015,胃痛,176773.61,118805.54,23
2015,老年性关节炎,156275.23,110670.88,23
2015,损伤,165108.06,106601.46,23
2015,慢性阑尾炎,167404.11,104236.22,23
2015,慢性阑尾炎急性发作,158585.92,100834.75,23
2015,踝关节痛,145702.68,100733.68,23
2015,角膜葡萄膜炎,122857.47,83115.11,23
2015,混合痔手术,124431.08,81084.75,23
2015,眼球挫伤,126084.92,75635.73,23
2015,慢性胆囊炎急性发作,108838.84,70717.54,23
2015,变应性胃炎,84641.42,53694.28,23
2015,药物性皮炎,88590.31,52670.73,23
2015,异常子宫出血,89908.4,46794.47,23
2015,结膜炎,42101.75,23843.99,23
2015,脑干出血,843737.07,571633,22
2015,多发性脑出血,663580.21,439884.65,22
2015,幼年型类风湿关节炎,335646.65,253287.97,22
2015,感染性发热,211558.37,132983.59,22
2015,下肢水肿,136329.52,101361.29,22
2015,戈谢病,137533.04,99647.88,22
2015,足软组织感染,125974.65,84261.26,22
2015,下肢蜂窝织炎,117741.86,79633.81,22
2015,局限性腹膜炎,118946.1,76106.97,22
2015,可疑冠心病观察,116101.39,68383.44,22
2015,眼底出血,115593.95,65235.87,22
2015,肾盂积水伴肾输尿管结石,99666.94,60317.02,22
2015,急性牙周炎,56377.03,37718.18,22
2015,慢性阴道炎,48466.67,30998.95,22
2015,胆管癌,712602.68,487231.22,21
2015,颅内损伤,619768.1,442361.61,21
